comparison_dimension,scheme,parameter_set,benchmark_kind,batch_size,baseline_sampler,candidate_sampler,baseline_implementation,candidate_implementation,baseline_median_cycles,candidate_median_cycles,speedup_percent,result
original-avx2-vs-ref,Falcon,falcon,end-to-end,1,original-cdt,original-cdt,original-cdt-ref,original-cdt-avx2,132.831000,248.542000,-87.111442,slower
original-avx2-vs-ref,Falcon,falcon,end-to-end,8,original-cdt,original-cdt,original-cdt-ref,original-cdt-avx2,162.359000,141.848000,12.633116,faster
original-avx2-vs-ref,Falcon,falcon,lookup-only,1,original-cdt,original-cdt,original-cdt-ref,original-cdt-avx2,210.954000,246.651000,-16.921699,slower
original-avx2-vs-ref,Falcon,falcon,lookup-only,8,original-cdt,original-cdt,original-cdt-ref,original-cdt-avx2,110.477000,74.416000,32.641183,faster
original-avx2-vs-ref,Frodo,frodo1344,end-to-end,1,original-cdt,original-cdt,original-cdt-ref,original-cdt-avx2,95.173000,70.503000,25.921217,faster
original-avx2-vs-ref,Frodo,frodo1344,end-to-end,8,original-cdt,original-cdt,original-cdt-ref,original-cdt-avx2,78.454000,51.678000,34.129554,faster
original-avx2-vs-ref,Frodo,frodo1344,lookup-only,1,original-cdt,original-cdt,original-cdt-ref,original-cdt-avx2,87.093000,103.647000,-19.007268,slower
original-avx2-vs-ref,Frodo,frodo1344,lookup-only,8,original-cdt,original-cdt,original-cdt-ref,original-cdt-avx2,39.104000,28.178000,27.940876,faster
original-avx2-vs-ref,Frodo,frodo640,end-to-end,1,original-cdt,original-cdt,original-cdt-ref,original-cdt-avx2,104.964000,127.020000,-21.012919,slower
original-avx2-vs-ref,Frodo,frodo640,end-to-end,8,original-cdt,original-cdt,original-cdt-ref,original-cdt-avx2,69.127000,42.705000,38.222402,faster
original-avx2-vs-ref,Frodo,frodo640,lookup-only,1,original-cdt,original-cdt,original-cdt-ref,original-cdt-avx2,207.886000,120.132000,42.212559,faster
original-avx2-vs-ref,Frodo,frodo640,lookup-only,8,original-cdt,original-cdt,original-cdt-ref,original-cdt-avx2,44.888000,25.477000,43.243183,faster
original-avx2-vs-ref,Frodo,frodo976,end-to-end,1,original-cdt,original-cdt,original-cdt-ref,original-cdt-avx2,76.626000,81.164000,-5.922272,slower
original-avx2-vs-ref,Frodo,frodo976,end-to-end,8,original-cdt,original-cdt,original-cdt-ref,original-cdt-avx2,74.608000,44.293000,40.632372,faster
original-avx2-vs-ref,Frodo,frodo976,lookup-only,1,original-cdt,original-cdt,original-cdt-ref,original-cdt-avx2,96.373000,115.167000,-19.501313,slower
original-avx2-vs-ref,Frodo,frodo976,lookup-only,8,original-cdt,original-cdt,original-cdt-ref,original-cdt-avx2,73.823000,30.262000,59.007355,faster
sda-avx2-vs-ref,Falcon,falcon,end-to-end,1,sda-cdt,sda-cdt,sda-cdt-ref,sda-cdt-avx2,183.146000,147.817000,19.290075,faster
sda-avx2-vs-ref,Falcon,falcon,end-to-end,8,sda-cdt,sda-cdt,sda-cdt-ref,sda-cdt-avx2,213.082000,180.073000,15.491219,faster
sda-avx2-vs-ref,Falcon,falcon,lookup-only,1,sda-table-lookup,sda-table-lookup,sda-table-ref,sda-table-avx2,109.055000,120.371000,-10.376416,slower
sda-avx2-vs-ref,Falcon,falcon,lookup-only,8,sda-table-lookup,sda-table-lookup,sda-table-ref,sda-table-avx2,64.938000,77.232000,-18.931904,slower
sda-avx2-vs-ref,Frodo,frodo1344,end-to-end,1,sda-cdt,sda-cdt,sda-cdt-ref,sda-cdt-avx2,93.691000,124.377000,-32.752345,slower
sda-avx2-vs-ref,Frodo,frodo1344,end-to-end,8,sda-cdt,sda-cdt,sda-cdt-ref,sda-cdt-avx2,67.660000,50.401000,25.508424,faster
sda-avx2-vs-ref,Frodo,frodo1344,lookup-only,1,sda-table-lookup,sda-table-lookup,sda-table-ref,sda-table-avx2,146.845000,174.794000,-19.032994,slower
sda-avx2-vs-ref,Frodo,frodo1344,lookup-only,8,sda-table-lookup,sda-table-lookup,sda-table-ref,sda-table-avx2,44.989000,35.007000,22.187646,faster
sda-avx2-vs-ref,Frodo,frodo640,end-to-end,1,sda-cdt,sda-cdt,sda-cdt-ref,sda-cdt-avx2,94.895000,100.194000,-5.584067,slower
sda-avx2-vs-ref,Frodo,frodo640,end-to-end,8,sda-cdt,sda-cdt,sda-cdt-ref,sda-cdt-avx2,78.912000,77.363000,1.962946,faster
sda-avx2-vs-ref,Frodo,frodo640,lookup-only,1,sda-table-lookup,sda-table-lookup,sda-table-ref,sda-table-avx2,89.294000,102.013000,-14.243958,slower
sda-avx2-vs-ref,Frodo,frodo640,lookup-only,8,sda-table-lookup,sda-table-lookup,sda-table-ref,sda-table-avx2,32.707000,24.867000,23.970404,faster
sda-avx2-vs-ref,Frodo,frodo976,end-to-end,1,sda-cdt,sda-cdt,sda-cdt-ref,sda-cdt-avx2,89.920000,95.707000,-6.435721,slower
sda-avx2-vs-ref,Frodo,frodo976,end-to-end,8,sda-cdt,sda-cdt,sda-cdt-ref,sda-cdt-avx2,75.674000,62.948000,16.816872,faster
sda-avx2-vs-ref,Frodo,frodo976,lookup-only,1,sda-table-lookup,sda-table-lookup,sda-table-ref,sda-table-avx2,113.392000,124.577000,-9.864012,slower
sda-avx2-vs-ref,Frodo,frodo976,lookup-only,8,sda-table-lookup,sda-table-lookup,sda-table-ref,sda-table-avx2,32.048000,23.800000,25.736395,faster
sda-vs-original-ref,Falcon,falcon,end-to-end,1,original-cdt,sda-cdt,original-cdt-ref,sda-cdt-ref,132.831000,183.146000,-37.878959,slower
sda-vs-original-ref,Falcon,falcon,end-to-end,8,original-cdt,sda-cdt,original-cdt-ref,sda-cdt-ref,162.359000,213.082000,-31.241262,slower
sda-vs-original-ref,Falcon,falcon,lookup-only,1,original-cdt,sda-table-lookup,original-cdt-ref,sda-table-ref,210.954000,109.055000,48.303896,faster
sda-vs-original-ref,Falcon,falcon,lookup-only,8,original-cdt,sda-table-lookup,original-cdt-ref,sda-table-ref,110.477000,64.938000,41.220345,faster
sda-vs-original-ref,Frodo,frodo1344,end-to-end,1,original-cdt,sda-cdt,original-cdt-ref,sda-cdt-ref,95.173000,93.691000,1.557164,faster
sda-vs-original-ref,Frodo,frodo1344,end-to-end,8,original-cdt,sda-cdt,original-cdt-ref,sda-cdt-ref,78.454000,67.660000,13.758381,faster
sda-vs-original-ref,Frodo,frodo1344,lookup-only,1,original-cdt,sda-table-lookup,original-cdt-ref,sda-table-ref,87.093000,146.845000,-68.607121,slower
sda-vs-original-ref,Frodo,frodo1344,lookup-only,8,original-cdt,sda-table-lookup,original-cdt-ref,sda-table-ref,39.104000,44.989000,-15.049611,slower
sda-vs-original-ref,Frodo,frodo640,end-to-end,1,original-cdt,sda-cdt,original-cdt-ref,sda-cdt-ref,104.964000,94.895000,9.592813,faster
sda-vs-original-ref,Frodo,frodo640,end-to-end,8,original-cdt,sda-cdt,original-cdt-ref,sda-cdt-ref,69.127000,78.912000,-14.155106,slower
sda-vs-original-ref,Frodo,frodo640,lookup-only,1,original-cdt,sda-table-lookup,original-cdt-ref,sda-table-ref,207.886000,89.294000,57.046651,faster
sda-vs-original-ref,Frodo,frodo640,lookup-only,8,original-cdt,sda-table-lookup,original-cdt-ref,sda-table-ref,44.888000,32.707000,27.136428,faster
sda-vs-original-ref,Frodo,frodo976,end-to-end,1,original-cdt,sda-cdt,original-cdt-ref,sda-cdt-ref,76.626000,89.920000,-17.349203,slower
sda-vs-original-ref,Frodo,frodo976,end-to-end,8,original-cdt,sda-cdt,original-cdt-ref,sda-cdt-ref,74.608000,75.674000,-1.428801,slower
sda-vs-original-ref,Frodo,frodo976,lookup-only,1,original-cdt,sda-table-lookup,original-cdt-ref,sda-table-ref,96.373000,113.392000,-17.659510,slower
sda-vs-original-ref,Frodo,frodo976,lookup-only,8,original-cdt,sda-table-lookup,original-cdt-ref,sda-table-ref,73.823000,32.048000,56.588055,faster
sda-vs-original-avx2,Falcon,falcon,end-to-end,1,original-cdt,sda-cdt,original-cdt-avx2,sda-cdt-avx2,248.542000,147.817000,40.526350,faster
sda-vs-original-avx2,Falcon,falcon,end-to-end,8,original-cdt,sda-cdt,original-cdt-avx2,sda-cdt-avx2,141.848000,180.073000,-26.947860,slower
sda-vs-original-avx2,Falcon,falcon,lookup-only,1,original-cdt,sda-table-lookup,original-cdt-avx2,sda-table-avx2,246.651000,120.371000,51.197846,faster
sda-vs-original-avx2,Falcon,falcon,lookup-only,8,original-cdt,sda-table-lookup,original-cdt-avx2,sda-table-avx2,74.416000,77.232000,-3.784132,slower
