scheme,parameter_set,sampler_family,table_family,implementation,benchmark_kind,batch_size,lane_width,repetitions,samples_per_repetition,median_cycles_per_sample,MAD,p10,p90,min,max,mean,standard_deviation,timer_overhead,attempts_per_sample,rejections_per_sample,acceptance_ratio,expected_acceptance_ratio,random_bits_per_sample,random_bytes_per_sample,native_table_bytes,packed_bits,vector_batches,vectorized_samples,scalar_tail_samples,fallback_samples,refill_rounds,rejected_lanes,avx2_path_executed,status,reason
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,1,4,2,1000,248.542000,15.562000,236.092400,260.991600,232.980000,264.104000,248.542000,15.562000,66,1.000000000,0.000000000,1.000000000,1.000000000,72.000000000,9.000000000,171,1368,0,0,2000,0,0,0,0,available,
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,8,4,2,1000,141.848000,0.200000,141.688000,142.008000,141.648000,142.048000,141.848000,0.200000,66,1.000000000,0.000000000,1.000000000,1.000000000,72.000000000,9.000000000,171,1368,500,2000,0,0,0,0,1,available,
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,1,1,2,1000,132.831000,35.377000,104.529400,161.132600,97.454000,168.208000,132.831000,35.377000,66,1.000000000,0.000000000,1.000000000,1.000000000,72.000000000,9.000000000,171,1368,0,0,0,0,0,0,0,available,
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,8,1,2,1000,162.359000,61.561000,113.110200,211.607800,100.798000,223.920000,162.359000,61.561000,66,1.000000000,0.000000000,1.000000000,1.000000000,72.000000000,9.000000000,171,1368,0,0,0,0,0,0,0,available,
Falcon,falcon,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,1,4,2,1000,147.817000,18.621000,132.920200,162.713800,129.196000,166.438000,147.817000,18.621000,66,1.004500000,0.004500000,0.995522379,0.994350763,72.324000000,9.040500000,162,1368,0,0,2000,0,2009,9,0,available,
Falcon,falcon,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,8,4,2,1000,180.073000,0.403000,179.750600,180.395400,179.670000,180.476000,180.073000,0.403000,66,1.004500000,0.004500000,0.995522379,0.994350763,72.324000000,9.040500000,162,1368,500,2000,0,0,2009,9,1,available,
Falcon,falcon,sda-cdt,sda-table,sda-cdt-ref,end-to-end,1,1,2,1000,183.146000,1.426000,182.005200,184.286800,181.720000,184.572000,183.146000,1.426000,66,1.004500000,0.004500000,0.995522379,0.994350763,72.324000000,9.040500000,162,1368,0,0,0,0,0,0,0,available,
Falcon,falcon,sda-cdt,sda-table,sda-cdt-ref,end-to-end,8,1,2,1000,213.082000,25.280000,192.858000,233.306000,187.802000,238.362000,213.082000,25.280000,66,1.004500000,0.004500000,0.995522379,0.994350763,72.324000000,9.040500000,162,1368,0,0,0,0,0,0,0,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,1,8,2,1000,70.503000,0.287000,70.273400,70.732600,70.216000,70.790000,70.503000,0.287000,66,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,14,105,0,0,2000,0,0,0,0,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,8,8,2,1000,51.678000,0.704000,51.114800,52.241200,50.974000,52.382000,51.678000,0.704000,66,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,14,105,250,2000,0,0,0,0,1,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,1,1,2,1000,95.173000,19.283000,79.746600,110.599400,75.890000,114.456000,95.173000,19.283000,66,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,14,105,0,0,0,0,0,0,0,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,8,1,2,1000,78.454000,4.188000,75.103600,81.804400,74.266000,82.642000,78.454000,4.188000,66,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,14,105,0,0,0,0,0,0,0,available,
