scheme,parameter_set,sampler_family,table_family,implementation,benchmark_kind,batch_size,lane_width,repetition_index,repetitions,samples_per_repetition,total_cycles,cycles_per_sample,timer_overhead,attempts,rejections,random_bits,random_bytes,attempts_per_sample,rejections_per_sample,acceptance_ratio,expected_acceptance_ratio,random_bits_per_sample,random_bytes_per_sample,native_table_bytes,packed_bits,vector_batches,vectorized_samples,scalar_tail_samples,fallback_samples,refill_rounds,rejected_lanes,avx2_path_executed,checksum,status,reason
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,1,1,0,2,1000,294364,294.364000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,26,195,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,1,8,0,2,1000,116884,116.884000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,26,195,0,0,1000,0,0,0,0,4541964646831120921,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,1,1,1,2,1000,121408,121.408000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,26,195,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,1,8,1,2,1000,123380,123.380000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,26,195,0,0,1000,0,0,0,0,4541964646831120921,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,8,1,0,2,1000,54338,54.338000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,26,195,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,8,8,0,2,1000,25750,25.750000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,26,195,125,1000,0,0,0,0,1,5508103314724780671,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,8,1,1,2,1000,35438,35.438000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,26,195,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,8,8,1,2,1000,25204,25.204000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,26,195,125,1000,0,0,0,0,1,5508103314724780671,available,
Frodo,frodo640,sda-cdt,sda-table,sda-table-ref,lookup-only,1,1,0,2,1000,89616,89.616000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.887084961,0.000000000,0.000000000,22,168,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo640,sda-cdt,sda-table,sda-table-avx2,lookup-only,1,8,0,2,1000,102630,102.630000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.887084961,0.000000000,0.000000000,22,168,0,0,1000,0,0,0,0,4541964646831120921,available,
Frodo,frodo640,sda-cdt,sda-table,sda-table-ref,lookup-only,1,1,1,2,1000,88972,88.972000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.887084961,0.000000000,0.000000000,22,168,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo640,sda-cdt,sda-table,sda-table-avx2,lookup-only,1,8,1,2,1000,101396,101.396000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.887084961,0.000000000,0.000000000,22,168,0,0,1000,0,0,0,0,4541964646831120921,available,
Frodo,frodo640,sda-cdt,sda-table,sda-table-ref,lookup-only,8,1,0,2,1000,32900,32.900000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.887084961,0.000000000,0.000000000,22,168,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo640,sda-cdt,sda-table,sda-table-avx2,lookup-only,8,8,0,2,1000,24986,24.986000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.887084961,0.000000000,0.000000000,22,168,125,1000,0,0,0,0,1,5508103314724780671,available,
Frodo,frodo640,sda-cdt,sda-table,sda-table-ref,lookup-only,8,1,1,2,1000,32514,32.514000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.887084961,0.000000000,0.000000000,22,168,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo640,sda-cdt,sda-table,sda-table-avx2,lookup-only,8,8,1,2,1000,24748,24.748000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.887084961,0.000000000,0.000000000,22,168,125,1000,0,0,0,0,1,5508103314724780671,available,
Frodo,frodo976,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,1,1,0,2,1000,91388,91.388000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,22,165,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo976,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,1,8,0,2,1000,102988,102.988000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,22,165,0,0,1000,0,0,0,0,4541964646831120921,available,
Frodo,frodo976,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,1,1,1,2,1000,101358,101.358000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,22,165,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo976,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,1,8,1,2,1000,127346,127.346000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,22,165,0,0,1000,0,0,0,0,4541964646831120921,available,
Frodo,frodo976,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,8,1,0,2,1000,115392,115.392000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,22,165,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo976,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,8,8,0,2,1000,35930,35.930000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,22,165,125,1000,0,0,0,0,1,5508103314724780671,available,
Frodo,frodo976,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,8,1,1,2,1000,32254,32.254000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,22,165,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo976,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,8,8,1,2,1000,24594,24.594000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,22,165,125,1000,0,0,0,0,1,5508103314724780671,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-ref,lookup-only,1,1,0,2,1000,86874,86.874000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-avx2,lookup-only,1,8,0,2,1000,148770,148.770000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,0,0,1000,0,0,0,0,4541964646831120921,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-ref,lookup-only,1,1,1,2,1000,139910,139.910000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-avx2,lookup-only,1,8,1,2,1000,100384,100.384000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,0,0,1000,0,0,0,0,4541964646831120921,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-ref,lookup-only,8,1,0,2,1000,32084,32.084000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-avx2,lookup-only,8,8,0,2,1000,24246,24.246000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,125,1000,0,0,0,0,1,5508103314724780671,available,
Frodo,frodo976,sda-cdt,sda-table,sda-table-ref,lookup-only,8,1,1,2,1000,32012,32.012000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.908447266,0.000000000,0.000000000,18,130,0,0,0,0,0,0,0,5508103314724780671,available,
