scheme,parameter_set,sampler_family,table_family,implementation,benchmark_kind,batch_size,lane_width,repetitions,samples_per_repetition,median_cycles_per_sample,MAD,p10,p90,min,max,mean,standard_deviation,timer_overhead,attempts_per_sample,rejections_per_sample,acceptance_ratio,expected_acceptance_ratio,random_bits_per_sample,random_bytes_per_sample,native_table_bytes,packed_bits,vector_batches,vectorized_samples,scalar_tail_samples,fallback_samples,refill_rounds,rejected_lanes,avx2_path_executed,status,reason
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,1,4,2,1000,246.651000,29.879000,222.747800,270.554200,216.772000,276.530000,246.651000,29.879000,66,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,171,1368,0,0,2000,0,0,0,0,available,
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,8,4,2,1000,74.416000,1.988000,72.825600,76.006400,72.428000,76.404000,74.416000,1.988000,66,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,171,1368,500,2000,0,0,0,0,1,available,
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,1,1,2,1000,210.954000,18.930000,195.810000,226.098000,192.024000,229.884000,210.954000,18.930000,66,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,171,1368,0,0,0,0,0,0,0,available,
Falcon,falcon,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,8,1,2,1000,110.477000,15.683000,97.930600,123.023400,94.794000,126.160000,110.477000,15.683000,66,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,171,1368,0,0,0,0,0,0,0,available,
Falcon,falcon,sda-cdt,sda-table,sda-table-avx2,lookup-only,1,4,2,1000,120.371000,4.267000,116.957400,123.784600,116.104000,124.638000,120.371000,4.267000,66,0.000000000,0.000000000,1.000000000,0.994350763,0.000000000,0.000000000,162,1368,0,0,2000,0,0,0,0,available,
Falcon,falcon,sda-cdt,sda-table,sda-table-avx2,lookup-only,8,4,2,1000,77.232000,17.140000,63.520000,90.944000,60.092000,94.372000,77.232000,17.140000,66,0.000000000,0.000000000,1.000000000,0.994350763,0.000000000,0.000000000,162,1368,500,2000,0,0,0,0,1,available,
Falcon,falcon,sda-cdt,sda-table,sda-table-ref,lookup-only,1,1,2,1000,109.055000,11.093000,100.180600,117.929400,97.962000,120.148000,109.055000,11.093000,66,0.000000000,0.000000000,1.000000000,0.994350763,0.000000000,0.000000000,162,1368,0,0,0,0,0,0,0,available,
Falcon,falcon,sda-cdt,sda-table,sda-table-ref,lookup-only,8,1,2,1000,64.938000,15.684000,52.390800,77.485200,49.254000,80.622000,64.938000,15.684000,66,0.000000000,0.000000000,1.000000000,0.994350763,0.000000000,0.000000000,162,1368,0,0,0,0,0,0,0,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,1,8,2,1000,103.647000,1.871000,102.150200,105.143800,101.776000,105.518000,103.647000,1.871000,66,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,14,105,0,0,2000,0,0,0,0,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,8,8,2,1000,28.178000,4.622000,24.480400,31.875600,23.556000,32.800000,28.178000,4.622000,66,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,14,105,250,2000,0,0,0,0,1,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,1,1,2,1000,87.093000,0.145000,86.977000,87.209000,86.948000,87.238000,87.093000,0.145000,66,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,14,105,0,0,0,0,0,0,0,available,
Frodo,frodo1344,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,8,1,2,1000,39.104000,8.872000,32.006400,46.201600,30.232000,47.976000,39.104000,8.872000,66,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,14,105,0,0,0,0,0,0,0,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-table-avx2,lookup-only,1,8,2,1000,174.794000,1.270000,173.778000,175.810000,173.524000,176.064000,174.794000,1.270000,66,0.000000000,0.000000000,1.000000000,0.796875000,0.000000000,0.000000000,4,35,0,0,2000,0,0,0,0,available,
Frodo,frodo1344,sda-cdt,sda-table,sda-table-avx2,lookup-only,8,8,2,1000,35.007000,0.291000,34.774200,35.239800,34.716000,35.298000,35.007000,0.291000,66,0.000000000,0.000000000,1.000000000,0.796875000,0.000000000,0.000000000,4,35,250,2000,0,0,0,0,1,available,
