scheme,parameter_set,sampler_family,table_family,implementation,benchmark_kind,batch_size,lane_width,repetition_index,repetitions,samples_per_repetition,total_cycles,cycles_per_sample,timer_overhead,attempts,rejections,random_bits,random_bytes,attempts_per_sample,rejections_per_sample,acceptance_ratio,expected_acceptance_ratio,random_bits_per_sample,random_bytes_per_sample,native_table_bytes,packed_bits,vector_batches,vectorized_samples,scalar_tail_samples,fallback_samples,refill_rounds,rejected_lanes,avx2_path_executed,checksum,status,reason
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,1,1,0,2,1000,294364,294.364000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,26,195,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,1,8,0,2,1000,116884,116.884000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,26,195,0,0,1000,0,0,0,0,4541964646831120921,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,1,1,0,2,1000,111780,111.780000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,26,195,0,0,0,0,0,0,0,4852603650883256491,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,1,8,0,2,1000,146046,146.046000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,26,195,0,0,1000,0,0,0,0,4852603650883256491,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,1,1,1,2,1000,121408,121.408000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,26,195,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,1,8,1,2,1000,123380,123.380000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,26,195,0,0,1000,0,0,0,0,4541964646831120921,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,1,1,1,2,1000,98148,98.148000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,26,195,0,0,0,0,0,0,0,8917955206873297739,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,1,8,1,2,1000,107994,107.994000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,26,195,0,0,1000,0,0,0,0,8917955206873297739,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,8,1,0,2,1000,54338,54.338000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,26,195,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,8,8,0,2,1000,25750,25.750000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,26,195,125,1000,0,0,0,0,1,5508103314724780671,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,8,1,0,2,1000,69048,69.048000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,26,195,0,0,0,0,0,0,0,1196952561186360200,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,8,8,0,2,1000,42762,42.762000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,26,195,125,1000,0,0,0,0,1,1196952561186360200,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-ref,lookup-only,8,1,1,2,1000,35438,35.438000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,26,195,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-avx2,lookup-only,8,8,1,2,1000,25204,25.204000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000,26,195,125,1000,0,0,0,0,1,5508103314724780671,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-ref,end-to-end,8,1,1,2,1000,69206,69.206000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,26,195,0,0,0,0,0,0,0,13992578911583979120,available,
Frodo,frodo640,original-cdt,original-cdt-table,original-cdt-avx2,end-to-end,8,8,1,2,1000,42648,42.648000,66,1000,0,15000,2000,1.000000000,0.000000000,1.000000000,1.000000000,15.000000000,2.000000000,26,195,125,1000,0,0,0,0,1,13992578911583979120,available,
Frodo,frodo640,sda-cdt,sda-table,sda-table-ref,lookup-only,1,1,0,2,1000,89616,89.616000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.887084961,0.000000000,0.000000000,22,168,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo640,sda-cdt,sda-table,sda-table-avx2,lookup-only,1,8,0,2,1000,102630,102.630000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.887084961,0.000000000,0.000000000,22,168,0,0,1000,0,0,0,0,4541964646831120921,available,
Frodo,frodo640,sda-cdt,sda-table,sda-cdt-ref,end-to-end,1,1,0,2,1000,95026,95.026000,66,1125,125,15750,2250,1.125000000,0.125000000,0.888888889,0.887084961,15.750000000,2.250000000,22,168,0,0,0,0,0,0,0,665713228272096383,available,
Frodo,frodo640,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,1,8,0,2,1000,101146,101.146000,66,1125,125,15750,2250,1.125000000,0.125000000,0.888888889,0.887084961,15.750000000,2.250000000,22,168,0,0,1000,0,1125,125,0,665713228272096383,available,
Frodo,frodo640,sda-cdt,sda-table,sda-table-ref,lookup-only,1,1,1,2,1000,88972,88.972000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.887084961,0.000000000,0.000000000,22,168,0,0,0,0,0,0,0,4541964646831120921,available,
Frodo,frodo640,sda-cdt,sda-table,sda-table-avx2,lookup-only,1,8,1,2,1000,101396,101.396000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.887084961,0.000000000,0.000000000,22,168,0,0,1000,0,0,0,0,4541964646831120921,available,
Frodo,frodo640,sda-cdt,sda-table,sda-cdt-ref,end-to-end,1,1,1,2,1000,94764,94.764000,66,1136,136,15904,2272,1.136000000,0.136000000,0.880281690,0.887084961,15.904000000,2.272000000,22,168,0,0,0,0,0,0,0,8085482137578426470,available,
Frodo,frodo640,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,1,8,1,2,1000,99242,99.242000,66,1136,136,15904,2272,1.136000000,0.136000000,0.880281690,0.887084961,15.904000000,2.272000000,22,168,0,0,1000,0,1136,136,0,8085482137578426470,available,
Frodo,frodo640,sda-cdt,sda-table,sda-table-ref,lookup-only,8,1,0,2,1000,32900,32.900000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.887084961,0.000000000,0.000000000,22,168,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo640,sda-cdt,sda-table,sda-table-avx2,lookup-only,8,8,0,2,1000,24986,24.986000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.887084961,0.000000000,0.000000000,22,168,125,1000,0,0,0,0,1,5508103314724780671,available,
Frodo,frodo640,sda-cdt,sda-table,sda-cdt-ref,end-to-end,8,1,0,2,1000,78248,78.248000,66,1125,125,15750,2250,1.125000000,0.125000000,0.888888889,0.887084961,15.750000000,2.250000000,22,168,0,0,0,0,0,0,0,2629863080094224030,available,
Frodo,frodo640,sda-cdt,sda-table,sda-cdt-avx2,end-to-end,8,8,0,2,1000,64832,64.832000,66,1125,125,15750,2250,1.125000000,0.125000000,0.888888889,0.887084961,15.750000000,2.250000000,22,168,125,1000,0,0,1125,125,1,2629863080094224030,available,
Frodo,frodo640,sda-cdt,sda-table,sda-table-ref,lookup-only,8,1,1,2,1000,32514,32.514000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.887084961,0.000000000,0.000000000,22,168,0,0,0,0,0,0,0,5508103314724780671,available,
Frodo,frodo640,sda-cdt,sda-table,sda-table-avx2,lookup-only,8,8,1,2,1000,24748,24.748000,66,0,0,0,0,0.000000000,0.000000000,1.000000000,0.887084961,0.000000000,0.000000000,22,168,125,1000,0,0,0,0,1,5508103314724780671,available,
Frodo,frodo640,sda-cdt,sda-table,sda-cdt-ref,end-to-end,8,1,1,2,1000,79576,79.576000,66,1136,136,15904,2272,1.136000000,0.136000000,0.880281690,0.887084961,15.904000000,2.272000000,22,168,0,0,0,0,0,0,0,15060095451410357189,available,
