scheme,parameter_set,benchmark_kind,batch_size,speedup_original_avx2_vs_ref_percent,speedup_sda_avx2_vs_ref_percent,speedup_sda_ref_vs_original_ref_percent,speedup_sda_avx2_vs_original_avx2_percent
Falcon,falcon,end-to-end,1,-46.14,11.67,-75.63,-6.15
Falcon,falcon,end-to-end,1024,-43.32,8.72,-77.60,-13.11
Falcon,falcon,end-to-end,16,-51.58,16.24,-76.16,2.66
Falcon,falcon,end-to-end,256,-39.99,12.66,-67.93,-4.78
Falcon,falcon,end-to-end,4,-42.99,12.78,-66.30,-1.43
Falcon,falcon,end-to-end,64,-36.73,17.62,-69.50,-2.12
Falcon,falcon,end-to-end,8,-49.00,11.11,-64.62,1.79
Falcon,falcon,lookup-only,1,23.66,12.14,77.57,74.19
Falcon,falcon,lookup-only,1024,24.10,6.33,29.93,13.53
Falcon,falcon,lookup-only,16,27.69,6.40,36.44,17.73
Falcon,falcon,lookup-only,256,28.02,9.97,32.47,15.54
Falcon,falcon,lookup-only,4,28.63,10.57,30.89,13.41
Falcon,falcon,lookup-only,64,31.24,4.37,37.47,13.03
Falcon,falcon,lookup-only,8,29.20,8.68,31.78,12.00
Frodo,frodo1344,end-to-end,1,38.02,22.68,23.05,4.00
Frodo,frodo1344,end-to-end,1024,37.39,16.95,23.65,-1.29
Frodo,frodo1344,end-to-end,16,37.84,27.38,14.77,0.43
Frodo,frodo1344,end-to-end,256,41.69,16.15,32.49,2.92
Frodo,frodo1344,end-to-end,4,37.18,14.29,27.27,0.76
Frodo,frodo1344,end-to-end,64,26.36,16.80,25.07,15.34
Frodo,frodo1344,end-to-end,8,34.84,16.29,25.43,4.21
Frodo,frodo1344,lookup-only,1,38.32,34.03,13.14,7.10
Frodo,frodo1344,lookup-only,1024,40.23,33.57,9.73,-0.33
Frodo,frodo1344,lookup-only,16,38.14,33.05,17.67,10.89
Frodo,frodo1344,lookup-only,256,18.27,40.01,2.85,28.69
Frodo,frodo1344,lookup-only,4,33.41,35.84,10.71,13.96
Frodo,frodo1344,lookup-only,64,40.49,36.49,6.87,0.60
Frodo,frodo1344,lookup-only,8,39.88,26.51,8.51,-11.84
Frodo,frodo640,end-to-end,1,18.90,21.08,-9.36,-6.42
Frodo,frodo640,end-to-end,1024,41.73,29.73,-28.63,-55.12
Frodo,frodo640,end-to-end,16,41.09,20.02,-18.40,-60.74
Frodo,frodo640,end-to-end,256,38.53,19.17,-14.37,-50.37
Frodo,frodo640,end-to-end,4,43.76,32.60,-31.34,-57.41
Frodo,frodo640,end-to-end,64,41.62,16.96,-14.97,-63.54
Frodo,frodo640,end-to-end,8,41.42,19.90,-14.09,-56.00
Frodo,frodo640,lookup-only,1,21.53,39.71,71.77,78.31
Frodo,frodo640,lookup-only,1024,45.43,40.91,11.07,3.70
Frodo,frodo640,lookup-only,16,42.12,39.58,7.04,2.97
Frodo,frodo640,lookup-only,256,45.03,62.41,-54.91,-5.92
Frodo,frodo640,lookup-only,4,55.50,40.12,26.24,0.76
Frodo,frodo640,lookup-only,64,47.68,49.37,-2.97,0.35
Frodo,frodo640,lookup-only,8,39.89,40.25,9.95,10.48
Frodo,frodo976,end-to-end,1,36.54,16.91,-15.03,-50.61
Frodo,frodo976,end-to-end,1024,42.05,22.46,-11.95,-49.80
Frodo,frodo976,end-to-end,16,37.71,27.20,-25.37,-46.51
Frodo,frodo976,end-to-end,256,39.31,18.15,-9.98,-48.33
Frodo,frodo976,end-to-end,4,37.92,21.08,-14.71,-45.81
Frodo,frodo976,end-to-end,64,42.37,17.51,-2.90,-47.28
Frodo,frodo976,end-to-end,8,44.67,20.18,28.09,-3.73
Frodo,frodo976,lookup-only,1,44.06,39.42,9.91,2.43
Frodo,frodo976,lookup-only,1024,41.94,39.48,4.88,0.85
Frodo,frodo976,lookup-only,16,42.07,42.60,-1.05,-0.12
Frodo,frodo976,lookup-only,256,42.53,37.57,9.04,1.20
Frodo,frodo976,lookup-only,4,49.75,37.38,21.40,2.05
Frodo,frodo976,lookup-only,64,36.97,40.54,5.93,11.25
Frodo,frodo976,lookup-only,8,36.32,32.76,38.81,35.39
