candidate_id,epsilon,embedding_precision,block_size,source_row_or_combination,combination_coefficients,recovered_p,recovered_q,recovery_valid,raw_bkz_pmf_valid,pmf_is_fixed_q_normalized,normalization_preserved_q,linf_norm_lower,linf_norm_upper,l2_norm,input_basis_hash,output_basis_hash,run_id,sd_lower,sd_upper,renyi_lower,renyi_upper,log2_renyi_minus_one_lower,log2_renyi_minus_one_upper,feasible,rejection_reason
0,0.00390625000000000000000000000000,128,15,row0,,392225667546244149661193399271174009196119149 337299853517995928234486608740010786647142227 214514462677125765378860294464504179061839580 100892129040183454439667693670552821678139882 35092820825259574560235210118301821896146093 9026919194850204492497820943892365947295115 1717200926915778795707543083253586151501952 241581101505007288642471140026117041519097 25134200983077965231642068572003454826102 1933870967264945992509934301206541396657 110039899977581806091412933549917390453 4630556247399118709659402945628130722 144104128891900789166758203763248272 3316499746916992504058385087211334 56447380917628911943745616596110 710506257457502756019777311480 6613818943702069650684312836 45529929712124000024430403 231793867351615213989828,1091037817719964223929013529873987013328547292,true,false,false,true,,,5.308872615512417e+45,e443f5ed807a4c1c70bde82f18b6baba51d9983eb1bcf7b41400279287354b7e,2633a381c0949b56e95f3ce6207cea326c96f2cbfda63a903aea2a1ac0701d64,eps0p00390625000000_p128_b15,,,,,,,false,q_not_less_than_2^72;pmf_invalid
1,0.00390625000000000000000000000000,128,15,row1,,524101686967418971594442762755165357827148320 450708448910479184213982386021335808168554584 286639557455111337277711890847755871859106459 134814570811993798825067250445064904419742724 46891899528210858429101703000639775596565436 12061993820385992277439830380724948725309856 2294566564929014804812873905767605048217360 322806673082642349235772470279248183966703 33584944142535533401724843185966696628618 2584086458853113137427543885226061992401 147038049734919564049873166241974456749 6187464364690679416873344610307867264 192555519182871980898503205504332956 4431589403774241175220724727927932 75426393557820327086327242355443 949396123063466988115615558661 8837549279669828734280771893 60838223869728742071642607 309728727514653363732141,1457871853184790781303601427095186067675878107,true,false,false,true,,,6.225556573991035e+45,e443f5ed807a4c1c70bde82f18b6baba51d9983eb1bcf7b41400279287354b7e,2633a381c0949b56e95f3ce6207cea326c96f2cbfda63a903aea2a1ac0701d64,eps0p00390625000000_p128_b15,,,,,,,false,q_not_less_than_2^72;pmf_invalid
2,0.00390625000000000000000000000000,128,15,row2,,936797344413172909685024967844139119527194360 805611751580118028044040771639422923300834684 512349383535581463963399626832933635054576427 240972191209009721010214480603850651505222246 83816190721874294420705054762453483859153831 21560021767241797459249072079770491677865868 4101387036249674901949528303960314452500432 576995727398736138457713894044716366409062 60030881921103036019080149987937605072499 4618884832053830447355126954886053237731 262820856991303033730081728726691985708 11059686182337559360073877023246483196 344180344212149036081703910539477181 7921175009008023713960726591909926 134819724760820128058616142962170 1696983217184926242969828304272 15796538920184609497055699571 108744329539849383539919278 553619758606569821757211,2605850189990181007965072675726155582860565653,true,false,false,true,,,6.155764167828357e+45,e443f5ed807a4c1c70bde82f18b6baba51d9983eb1bcf7b41400279287354b7e,2633a381c0949b56e95f3ce6207cea326c96f2cbfda63a903aea2a1ac0701d64,eps0p00390625000000_p128_b15,,,,,,,false,q_not_less_than_2^72;pmf_invalid
3,0.00390625000000000000000000000000,128,15,row3,,248052289081759273061495720353982985917682424 213315975202506010487537410154906113535704760 135663746437326175189481961929314840810078294 63806440091784843266756212484923919874710300 22193485170154885795358955194715258524824774 5708825696305723790879530508522420722889374 1085996292388378088237610937548568850193182 152781294508587093182032784129857326464408 15895431135593447224270806168819159676189 1223023274381369077642438581516128765438 69591695134405728688534403682893401444 2928467389895558329096874282618239641 91134675763039978896262088557263908 2097428654040958417039207500005063 35698586828555829019739972320784 449340056380853772538581650364 4182727098970836430357705398 28794146383835021197229254 146591628618753805956003,689996730334574632446152076203456046334761002,true,false,false,true,,,6.478676171319855e+45,e443f5ed807a4c1c70bde82f18b6baba51d9983eb1bcf7b41400279287354b7e,2633a381c0949b56e95f3ce6207cea326c96f2cbfda63a903aea2a1ac0701d64,eps0p00390625000000_p128_b15,,,,,,,false,q_not_less_than_2^72;pmf_invalid
4,0.00390625000000000000000000000000,128,15,row4,,243907381028118240110312062455928394498726627 209751504554562384743594086956504816071428398 133396830226728953756027768436784025150865701 62740246232459353020160672922795353245951260 21822636121510075797038775025997792010078725 5613432270616952278936149722804821689978411 1067849494407968315286243699408043511726517 150228347223163663567698405551851763698963 15629821409620301089136898476234385386702 1202586780775366148796756328045427360322 68428830729094577363206409497339578156 2879533239301195484655967522698822345 89611832120134986113803298608012629 2062381007626349558818809342421705 35102070019148301335826181653278 441831666817463627218567499081 4112834499701202414926705452 28313001502302649813767765 144142109510071212505847,678467012083891216918673183893556686446167884,true,false,false,true,,,6.307883138523599e+45,e443f5ed807a4c1c70bde82f18b6baba51d9983eb1bcf7b41400279287354b7e,2633a381c0949b56e95f3ce6207cea326c96f2cbfda63a903aea2a1ac0701d64,eps0p00390625000000_p128_b15,,,,,,,false,q_not_less_than_2^72;pmf_invalid
5,0.00390625000000000000000000000000,128,15,row5,,298602734505919471984989606853125696328561369 256787525505440679512702257262616224721671958 163310589914173827324741875144369047545845819 76809520932157957325189538241605147464747357 26716283830948709591712121063145129358659664 6872224279989131018610887741966569520740651 1307310905176025078017605894232022562746614 183916514096676785158336914929748271638328 19134752679804106590739356156712893659968 1472262543702183450194675091322556192266 83773750054717539020526356295339905051 3525258217818759245165015488410072483 109706963366036583184665896296954873 2524862535419979144037111384287618 42973583047606067868311739208216 540910829950625811609777600168 5035122852799134804678470749 34662090318960623507645968 176465459453221984959104,830610800814409602912756956438540984343568224,true,false,false,true,,,6.079924086166047e+45,e443f5ed807a4c1c70bde82f18b6baba51d9983eb1bcf7b41400279287354b7e,2633a381c0949b56e95f3ce6207cea326c96f2cbfda63a903aea2a1ac0701d64,eps0p00390625000000_p128_b15,,,,,,,false,q_not_less_than_2^72;pmf_invalid
6,0.00390625000000000000000000000000,128,15,row6,,727815665743167456045952431064235201512816271 625895084783886776267555687106137233909531033 398053976022572436798140496591886432656883728 187215876321936632271201200282415923835570276 65118391949019103323656298598232454934494480 16750390775063366178545643271640846301227855 3186445557366888341963026231363532703772271 448278949521079760584018850198642018226616 46639133374066285838974314692750288980641 3588499432754162528039363985627093059959 204190520119524413456212869909452435392 8592480443836891064596950652911973378 267400252415740455240825023483107205 6154111449003641833703366561345495 104744007140171303817773693155410 1318418521717856626598461704166 12272631385215902478677361879 84485536889964468901580118 430117714980519082263751,2024534550792001561445223362540429436479489924,true,false,false,true,,,6.113270785598963e+45,e443f5ed807a4c1c70bde82f18b6baba51d9983eb1bcf7b41400279287354b7e,2633a381c0949b56e95f3ce6207cea326c96f2cbfda63a903aea2a1ac0701d64,eps0p00390625000000_p128_b15,,,,,,,false,q_not_less_than_2^72;pmf_invalid
7,0.00390625000000000000000000000000,128,15,row7,,148708779546932745911850883599772810196731648 127884158810454366594094055588165030583619614 81331199305359932253630543865596046763326315 38252329250452193274215751815939306421696096 13305122503662390912608921372564965518317731 3422473967430204709848830414656393335794507 651061047779080787088245411070426513052876 91593268210009888461988873624546427021891 9529402745270775285615464364540154062209 733209514671320677612328746194447824480 41720623052297839928296683308612698560 1755633109077339902117605416265967359 54635764327335542862708309783050499 1257420588553371350037453172750704 21401508925704668558766027567669 269381958268977075605090314623 2507569046705384917440138869 17262257013175489393608562 87882527770210922617877,413657023844711886134634353253499737070162089,true,false,false,true,,,6.264677669807209e+45,e443f5ed807a4c1c70bde82f18b6baba51d9983eb1bcf7b41400279287354b7e,2633a381c0949b56e95f3ce6207cea326c96f2cbfda63a903aea2a1ac0701d64,eps0p00390625000000_p128_b15,,,,,,,false,q_not_less_than_2^72;pmf_invalid
8,0.00390625000000000000000000000000,128,15,row8,,668382093271029212683418746907136340910638866 574784367287205218695472009670203894877524814 365548808924247402519555167290117922863087450 171927790509778297991723226292998806130342054 59800811070598085361051643067249054553852980 15382550522477115381487589932971790110548916 2926239777419968088217228209672405324943271 411672401066409854925945895550769986074130 42830572437699394789590179480019487626431 3295461853128770014920177070355428249849 187516281508219441306217673321316345553 7890816776495028009800476555660690680 245564294454061798047554711558658040 5651565480262370188993908794915115 96190590619477267896583285328244 1210756202194799276285512514702 11270445857768817329384425476 77586431091698885525350821 394994216561805408526272,1859210655456524096084698507021400746119643664,true,false,false,true,,,7.252184298218132e+45,e443f5ed807a4c1c70bde82f18b6baba51d9983eb1bcf7b41400279287354b7e,2633a381c0949b56e95f3ce6207cea326c96f2cbfda63a903aea2a1ac0701d64,eps0p00390625000000_p128_b15,,,,,,,false,q_not_less_than_2^72;pmf_invalid
9,0.00390625000000000000000000000000,128,15,row9,,1196253546621766601303444170094432689389283003 1028734678610323295751124032246835915798095316 654250111637375282771888965040098276095310104 307712057565203857019291740121650382445683517 107029995348862387364425882546868692481441011 27531304030821739087305767573588850661088469 5237310734751928060292644847141947498761307 736800962772496861703599853057988534030055 76657086864327579548315869549545065569386 5898135167369697186664704189786945930413 335611948706968805081271933449148280142 14122786426591212327149474236008708471 439504829829761146491971188908918007 10115030485994093292932515869064840 172159512259003410989055302285933 2166981155766113843677450846361 20171561992905551449490736487 138862253039945472369554319 706950765459154140309003,3327568710918438626176530397339514273603896144,true,false,false,true,,,6.884593566562939e+45,e443f5ed807a4c1c70bde82f18b6baba51d9983eb1bcf7b41400279287354b7e,2633a381c0949b56e95f3ce6207cea326c96f2cbfda63a903aea2a1ac0701d64,eps0p00390625000000_p128_b15,,,,,,,false,q_not_less_than_2^72;pmf_invalid
