parameter_set,epsilon,solver,embedding_precision,block_size,q,q_bits,power2_ceiling,absolute_gap,relative_gap,acceptance_ratio,expected_attempts,SD,RD,log2_renyi_minus_one,exact_linf_svp,heuristic_bkz,global_svp_certified,interval_post_verified,selected,status
falcon,0.0625000000000000000000000000000,falcon-epsilon-bkz,128,20,4695688715792059551856,72,4722366482869645213696,26677767077585661840,0.0056492369184727815016741018366852600252059346530586,0.99435076308152721849832589816331473997479406534694,1.0056813321095722820875589226876357930687569102778,1.0791332271200407740651263834210344528741311177170e-22,1.0000000000000000000000010792558072113347571013438,-79.616237421687550369975891444758062185981135173190,false,true,false,true,true,passed
falcon,0.0625000000000000000000000000000,falcon-epsilon-bkz,128,20,4696345938740122708227,72,4722366482869645213696,26020544129522505469,0.0055100645457975076762776272089675022591848119191127,0.99448993545420249232372237279103249774081518808089,1.0055405935740123466066133880410020778700007018111,5.5564376317681630128670859168635256937264409632777e-23,1.0000000000000000000000005102257948066490504492943,-80.697066534986270335491066275725689611640713282228,false,true,false,true,false,passed
falcon,0.0625000000000000000000000000000,falcon-epsilon-bkz,128,20,4697003161688185864598,72,4722366482869645213696,25363321181459349098,0.0053708921731222338508811525812497444931636891851667,0.99462910782687776614911884741875025550683631081483,1.0053998944238188086851079583721286382461316935151,3.0766629167207091107920738549200456445445858548139e-23,1.0000000000000000000000003881634739800729250804989,-81.091538004743161668185080064928648488729151158799,false,true,false,true,false,passed
falcon,0.0625000000000000000000000000000,falcon-epsilon-bkz,128,20,4697170488394467625664,72,4722366482869645213696,25195994475177588032,0.0053354593648281851693245328438486296818155096843839,0.99466454063517181483067546715615137031818449031562,1.0053640791913835324364111667118648894155094553287,3.2150810337303390558571342522228040317734348576488e-23,1.0000000000000000000000004256014796204388585116371,-80.958699205749657848207149269401087685263539546171,false,true,false,true,false,passed
falcon,0.0625000000000000000000000000000,falcon-epsilon-bkz,128,20,4697660384636249020969,72,4722366482869645213696,24706098233396192727,0.0052317198004469600254846779535319867271425664512208,0.99476828019955303997451532204646801327285743354878,1.0052592346424611204577635690047578271476526470787,6.0461537202507104195264790869297229031526793908259e-23,1.0000000000000000000000006819445898942300303882119,-80.278547851603823353962860661780249476273318473584,false,true,false,true,false,passed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,117,7,128,11,0.085937500000000000000000000000000000000000000000000,0.91406250000000000000000000000000000000000000000000,1.0940170940170940170940170940170940170940170940171,0.0038402736571094538041315529608847021440371977560986,1.0559227040495523811592604523744139965191295120813,-4.1604220682501815923701338290936128566189790946714,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,234,8,256,22,0.085937500000000000000000000000000000000000000000000,0.91406250000000000000000000000000000000000000000000,1.0940170940170940170940170940170940170940170940171,0.0038402736571094538041315529608847021440371977560986,1.0559227040495523811592604523744139965191295120813,-4.1604220682501815923701338290936128566189790946714,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,478,9,512,34,0.066406250000000000000000000000000000000000000000000,0.93359375000000000000000000000000000000000000000000,1.0711297071129707112970711297071129707112970711297,0.0014535390407087087657043798693899916567938402607490,1.3132806215784328299471963829908433383429814166537,-1.6744725623866376995413778832548272233871780440732,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,498,9,512,14,0.027343750000000000000000000000000000000000000000000,0.97265625000000000000000000000000000000000000000000,1.0281124497991967871485943775100401606425702811245,0.00068810419893211799800091336126838464596409099661664,1.2604375166599850467836634367838998960066816667514,-1.9409908076714575090095882286681885991155413426392,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,595,10,1024,429,0.41894531250000000000000000000000000000000000000000,0.58105468750000000000000000000000000000000000000000,1.7210084033613445378151260504201680672268907563025,0.00051475348464527920978159234433812990791018638078702,1.0545878076085450494171526975080951288236321148629,-4.1952774339945740613723841398768786630199861992688,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,829,10,1024,195,0.19042968750000000000000000000000000000000000000000,0.80957031250000000000000000000000000000000000000000,1.2352231604342581423401688781664656212303980699638,0.00099177716999491916868962643001120210787147421112233,1.0112420185688784602735919828814492174457613392780,-6.4749550867918862453791267502717257589159635007089,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,1190,11,2048,858,0.41894531250000000000000000000000000000000000000000,0.58105468750000000000000000000000000000000000000000,1.7210084033613445378151260504201680672268907563025,0.00051475348464527920978159234433812990791018638078702,1.0545878076085450494171526975080951288236321148629,-4.1952774339945740613723841398768786630199861992688,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,1307,11,2048,741,0.36181640625000000000000000000000000000000000000000,0.63818359375000000000000000000000000000000000000000,1.5669472073450650344299923488905891354246365723030,0.00037022735002121229152687894807694863763347848322764,1.0078182528199614898413677700727455816931165517053,-6.9989380466443414840739908147639020402176146088617,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,1862,11,2048,186,0.090820312500000000000000000000000000000000000000000,0.90917968750000000000000000000000000000000000000000,1.0998925886143931256713211600429645542427497314715,0.00060141969437919757132843915134022859833547551025503,2.3900692896069216911492056571577520488151168038144,0.47515679753931864401627214219845388425010804090777,false,true,false,true,false,renyi_requirement_failed
falcon,0.500000000000000000000000000000,falcon-epsilon-bkz,128,10,1902,11,2048,146,0.071289062500000000000000000000000000000000000000000,0.92871093750000000000000000000000000000000000000000,1.0767613038906414300736067297581493165089379600421,0.00034624516383657751615940390772468347800627891159504,1.0073461975238661079611473621320421475644715052504,-7.0887865970228216768903764989585926313180404274808,false,true,false,true,false,renyi_requirement_failed
