parameter_set,epsilon,solver,embedding_precision,block_size,q,q_bits,power2_ceiling,absolute_gap,relative_gap,acceptance_ratio,expected_attempts,SD,RD,log2_renyi_minus_one,exact_linf_svp,heuristic_bkz,global_svp_certified,interval_post_verified,selected,status
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,1091037817719964223929013529873987013328547292,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,1457871853184790781303601427095186067675878107,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,2605850189990181007965072675726155582860565653,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,689996730334574632446152076203456046334761002,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,678467012083891216918673183893556686446167884,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,830610800814409602912756956438540984343568224,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,2024534550792001561445223362540429436479489924,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,413657023844711886134634353253499737070162089,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,1859210655456524096084698507021400746119643664,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,3327568710918438626176530397339514273603896144,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
falcon,0.00390625000000000000000000000000,falcon-epsilon-bkz,128,15,3150467159734835313647595641479863727810192329,0,0,0,,,,,,,false,true,false,false,false,q_not_less_than_2^72;pmf_invalid
