index,mass_decimal,cumulative_decimal,mass_hex,cumulative_hex,limb_low64,limb_high8
0,1688089643849203377618,1688089643849203377618,0x5b82f32b32d770e5d2,0x5b82f32b32d770e5d2,9435933141634180562,91
1,1451695890168763046184,3139785534017966423802,0x4eb253d8b1ab9ad928,0xaa354703e4830bbefa,3839041487342649082,170
2,923243104324471247175,4063028638342437670977,0x320c9267d4dd045147,0xdc41d96bb960101041,4744942126336315457,220
3,434226957261920398458,4497255595604358069435,0x178a1c0cff277dec7a,0xf3cbf578b8878dfcbb,14696785692937026747,243
4,151035060451753465719,4648290656056111535154,0x830085343486a1777,0xfbfbfdcbfbcff81432,18157893555014079538,251
5,38850718016544903940,4687141374072656439094,0x21b297a3235071304,0xfe1727462e04ff2736,1668379350430328630,254
6,7390615507826259779,4694531989580482698873,0x6690bda5af7a3743,0xfe7db803d3b4795e79,9058994858256588409,254
7,1039734493031882893,4695571724073514581766,0xe6de1033de2e08d,0xfe8c25e4d6f25c3f06,10098729351288471302,254
8,108174420739448281,4695679898494254030047,0x180501001f55dd9,0xfe8da634e6f4519cdf,10206903772027919583,254
9,8323135945700700,4695688221630199730747,0x1d91d91975f55c,0xfe8dc3c6c00dc7923b,10215226907973620283,254
10,473597805886727,4695688695228005617474,0x1aebc14fc7d07,0xfe8dc5757c22c40f42,10215700505779507010,254
11,19929328173236,4695688715157333790710,0x12202886c0b4,0xfe8dc5879c4b4acff6,10215720435107680246,254
12,620205936904,4695688715777539727614,0x9067279108,0xfe8dc5882cb27260fe,10215721055313617150,254
13,14273795266,4695688715791813522880,0x352c8d4c2,0xfe8dc58830053b35c0,10215721069587412416,254
14,242942385,4695688715792056465265,0xe7b01b1,0xfe8dc5883013b63771,10215721069830354801,254
15,3057929,4695688715792059523194,0x2ea909,0xfe8dc5883013e4e07a,10215721069833412730,254
16,28465,4695688715792059551659,0x6f31,0xfe8dc5883013e54fab,10215721069833441195,254
17,196,4695688715792059551855,0xc4,0xfe8dc5883013e5506f,10215721069833441391,254
18,1,4695688715792059551856,0x1,0xfe8dc5883013e55070,10215721069833441392,254
