parameter_set,epsilon,q,acceptance_ratio,rejection_rate,sd,renyi,feasible,rejection_reason,selected
frodo640,0.40000000000000002,32664,9.96826171875000000e-1,3.17382812500000000e-3,2.57882943290866178e-5,1.00109525088859268e0,false,hard_constraint_failed,false
frodo640,0.41338655464046509,32664,9.96826171875000000e-1,3.17382812500000000e-3,2.57882943290866178e-5,1.00109525088859268e0,false,hard_constraint_failed,false
frodo640,0.42722110889378551,32664,9.96826171875000000e-1,3.17382812500000000e-3,2.57882943290866178e-5,1.00109525088859268e0,false,hard_constraint_failed,false
frodo640,0.44151865568820237,8536,5.20996093750000000e-1,4.79003906250000000e-1,1.25852031591264848e-4,1.00007779633243945e0,false,hard_constraint_failed,false
frodo640,0.45629468971108933,8536,5.20996093750000000e-1,4.79003906250000000e-1,1.25852031591264848e-4,1.00007779633243945e0,false,hard_constraint_failed,false
frodo640,0.47156522420101821,8536,5.20996093750000000e-1,4.79003906250000000e-1,1.25852031591264848e-4,1.00007779633243945e0,false,hard_constraint_failed,false
frodo640,0.48734680830179339,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.50365654499726398,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.52051210964634831,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.53793176913835972,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.55593440168939146,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.57453951730121466,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.59376727890486247,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.61363852421181297,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.63417478829645235,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.65539832693429201,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.67733214072123016,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
frodo640,0.69999999999999996,1,1.00000000000000000e0,0,7.32652509271126597e-1,3.74034959910422981e0,false,hard_constraint_failed,false
